,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate,h_county,year,h_tract,paradise
97,60070001041007,8,3,2,3,3,4,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,8,0,0,0,0,0,7,1,0,1,3,1,4,4,20230321,6007,2013,600700010,0
98,60070001041008,6,0,6,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,5,1,0,0,0,0,5,1,0,1,3,2,1,5,20230321,6007,2013,600700010,0
99,60070001041009,19,6,11,2,3,6,10,0,0,0,0,1,0,4,0,3,0,1,0,0,1,2,4,0,2,0,1,17,1,1,0,0,0,17,2,2,5,2,4,10,9,20230321,6007,2013,600700010,0
100,60070001041010,20,6,12,2,5,7,8,1,0,0,0,0,0,3,1,0,1,0,2,1,0,5,3,0,3,0,0,19,1,0,0,0,0,19,1,0,3,7,4,11,9,20230321,6007,2013,600700010,0
101,60070001041011,20,5,9,6,5,10,5,1,0,0,0,2,0,0,1,1,2,0,1,1,1,1,3,0,3,2,1,19,0,0,1,0,0,17,3,0,6,5,4,14,6,20230321,6007,2013,600700010,0
102,60070001041012,24,7,12,5,6,9,9,1,0,0,2,1,2,1,0,2,1,0,1,0,2,2,3,0,3,1,2,23,0,0,0,0,1,20,4,1,6,4,6,12,12,20230321,6007,2013,600700010,0
103,60070001042000,218,53,121,44,53,95,70,7,0,1,8,9,9,15,7,2,2,7,13,0,13,29,50,5,14,12,15,188,12,1,7,1,9,180,38,29,38,59,39,100,118,20230321,6007,2013,600700010,0
104,60070001042001,5,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,5,0,0,0,0,0,4,1,0,1,2,1,1,4,20230321,6007,2013,600700010,0
105,60070001042002,176,45,91,40,42,72,62,6,0,1,7,10,3,18,4,5,1,0,10,0,7,29,33,6,17,12,7,157,6,0,4,2,7,164,12,16,34,41,40,78,98,20230321,6007,2013,600700010,0
106,60070001042003,12,5,5,2,4,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,2,1,1,12,0,0,0,0,0,10,2,0,2,5,0,4,8,20230321,6007,2013,600700010,0
107,60070001042004,10,3,6,1,2,5,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,2,1,10,0,0,0,0,0,7,3,0,2,4,1,3,7,20230321,6007,2013,600700010,0
108,60070001042005,8,4,3,1,2,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,0,8,0,0,0,0,0,5,3,1,3,0,0,4,4,20230321,6007,2013,600700010,0
109,60070001043000,220,54,125,41,59,83,78,9,0,0,1,10,9,22,3,4,2,4,6,0,7,27,57,8,27,14,10,206,3,2,1,1,7,189,31,27,40,70,29,95,125,20230321,6007,2013,600700010,0
110,60070001043001,4,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,4,0,0,1,1,2,0,4,20230321,6007,2013,600700010,0
111,60070001043002,124,22,74,28,22,58,44,6,0,0,3,3,5,13,2,1,4,2,4,1,4,21,29,4,10,6,6,112,8,2,0,0,2,106,18,9,26,35,32,55,69,20230321,6007,2013,600700010,0
112,60070001044000,87,19,46,22,24,29,34,1,0,1,1,3,4,9,2,2,0,1,3,0,2,14,28,4,4,4,4,80,0,4,2,0,1,79,8,6,16,27,19,41,46,20230321,6007,2013,600700010,0
113,60070001044004,255,63,143,49,68,95,92,11,0,2,8,11,6,28,3,1,4,1,21,3,12,26,54,4,31,14,15,202,3,2,40,0,8,197,58,19,51,64,58,125,130,20230321,6007,2013,600700010,0
114,60070001044005,16,2,11,3,3,5,8,0,0,0,0,3,0,0,0,0,0,0,0,1,2,3,4,1,0,2,0,16,0,0,0,0,0,11,5,5,2,4,3,8,8,20230321,6007,2013,600700010,0
115,60070001044006,113,28,66,19,33,36,44,2,0,1,4,5,5,11,1,4,2,1,5,2,5,13,30,4,10,6,2,100,1,5,2,0,5,101,12,13,28,22,22,54,59,20230321,6007,2013,600700010,0
116,60070002011000,147,41,73,33,45,45,57,2,0,4,9,4,12,15,3,5,1,4,9,1,9,12,20,5,17,5,10,142,0,2,0,0,3,127,20,12,27,33,34,84,63,20230321,6007,2013,600700020,0
117,60070002011001,10,4,5,1,2,3,5,1,0,0,0,0,2,0,0,0,1,1,1,0,0,1,2,0,0,0,1,9,0,1,0,0,0,7,3,0,2,2,2,3,7,20230321,6007,2013,600700020,0
